Country Population
Albania  	352
Alemania  	6865
Andorra  	318
Austria  	696
Belarús  	476
Bélgica  	1578
Bosnia y Herzegovina  	72
Bulgaria  	1896
Croacia  	325
Dinamarca  	594
República Eslovaca  	354
Eslovenia  	175
España  	1326556
Estonia  	179
Finlandia  	533
Francia  	14806
Grecia  	1051
Hungría  	817
Irlanda  	1044
Islandia  	97
Italia  	30727
Letonia  	277
Liechtenstein  	3
Lituania  	456
Luxemburgo  	40
Macedonia  	94
Malta  	29
Moldavia  	529
Mónaco  	1
Montenegro  	40
Noruega  	343
Países Bajos  	2858
Polonia  	2678
Portugal  	4557
Reino Unido  	7385
Rumanía  	6823
Rusia  	7030
San Marino  	1
Serbia  	439
Suecia  	1676
Suiza  	876
República Checa  	476
Ucrania  	4684
Otros países o territorios del resto de Europa  	9
Argelia  	1760
Angola  	47
Benín  	20
Botsuana  	3
Burkina Faso  	34
Burundi  	5
Camerún  	229
Cabo Verde  	12
Congo  	40
Costa de Marfil  	60
Djibouti  	1
Egipto  	563
Eritrea  	6
Etiopia  	37
Gabón  	6
Gambia  	206
Ghana  	438
Guinea  	417
Guinea - Bissau  	81
Guinea Ecuatorial  	279
Kenia  	70
Liberia  	5
Libia  	110
Madagascar  	14
Malawi  	5
Mali  	133
Marruecos  	12914
Mauricio  	11
Mauritania  	67
Mozambique  	31
Namibia  	6
Níger  	13
Nigeria  	908
República Centroafricana  	3
República Democrática del Congo  	1
Ruanda  	4
SantoTomé y Príncipe  	7
Senegal  	1295
Seychelles  	4
Sierra Leona  	27
Somalia  	13
Sudáfrica  	139
Sudán  	21
Swazilandia  	1
Tanzania  	39
Togo  	13
Túnez  	249
Chad  	4
Uganda  	13
Zambia  	3
Zimbabwe  	9
Otros países o territorios de África  	5
Canadá  	694
Estados Unidos de América  	4681
México  	4073
Antigua y Barbuda  	1
Bahamas  	3
Barbados  	5
Costa Rica  	506
Cuba  	2060
Dominica  	36
El Salvador  	1531
Granada  	1
Guatemala  	372
Haití  	32
Honduras  	9416
Jamaica  	11
Nicaragua  	778
Panamá  	394
República Dominicana  	5618
San Cristóbal y Nieves  	2
Trinidad y Tobago  	9
Argentina  	6514
Bolivia  	8475
Brasil  	6362
Colombia  	9800
Ecuador  	7445
Guyana  	2
Paraguay  	4010
Perú  	8825
Surinam  	1
Uruguay  	1500
Venezuela  	7785
Chile  	3829
Otros países o territorios de América  	1
Afganistán  	103
Arabia Saudí  	121
Armenia  	2262
Azerbaiyán  	143
Bahréin  	9
Bangladesh  	4498
Camboya  	5
Corea del Sur  	813
Emiratos Árabes Unidos  	6
Filipinas  	9047
Georgia  	2989
Yemen  	4
India  	6078
Indonesia  	131
Irán  	848
Iraq  	127
Israel  	573
Japón  	1653
Jordania  	180
Kazakstán  	368
Kirguistán  	38
Kuwait  	21
Laos  	1
Líbano  	480
Malasia  	75
Maldivas  	4
Mongolia  	58
Myanmar  	6
Nepal  	1309
Omán  	7
Pakistán  	18922
Qatar  	13
Singapur  	59
Siria  	668
Sri Lanka  	17
Tayikistán  	4
Tailandia  	185
Territorios Palestinos  	70
Timor Oriental  	2
Turkmenistán  	13
Turquía  	1141
Uzbekistán  	104
Vietnam  	170
China  	20290
Chipre  	107
Otros países o territorios de Asia  	166
Australia  	371
Nueva Zelanda  	99
Islas Salomón  	1
Apátridas	16
