id,vert,hor
1,10,5
2,10,6
3,10,7
4,9,7
5,9,6
6,8,6
7,9,5
8,9,4
9,10,4
10,11,5
11,12,5
12,13,5
13,13,4
14,12,4
15,11,4
16,12,3
17,11,2
18,11,3
19,10,3
20,10,2
21,10,1
22,8,1
23,9,1
24,9,2
25,8,2
26,9,3
27,8,3
28,7,2
29,7,3
30,7,4
31,8,4
32,8,5
33,7,5
34,6,5
35,6,6
36,5,4
37,6,4
38,6,3
39,7,1
40,5,2
41,6,1
42,6,2
43,5,3
44,5,5
45,4,6
46,4,5
47,4,4
48,3,4
49,4,3
50,2,4
51,3,5
52,3,6
53,2,5
54,3,3
55,2,3
56,1,4
57,2,6
58,3,7
59,4,7
60,5,6
61,5,7
62,6,7
63,6,8
64,7,6
65,7,7
66,8,7
67,9,8
68,8,8
69,8,9
70,7,9
71,7,8
72,6,9
73,5,8
