id,tot
01,46948
02,16731
03,14739
04,22296
05,31922
06,51335
07,43449
08,42189
09,57889
10,38090
11,3952
12,1158
13,30660
14,10242
15,15885
17,23921
16,18755
18,41162
19,45939
20,23856
21,1196
22,4698
23,24975
24,16656
25,25695
26,47594
27,29494
28,15887
29,7427
30,13212
31,50008
32,34471
33,25685
34,9045
35,36757
36,943
37,31737
38,11604
39,702
40,5081
41,5732
42,650
43,26779
44,25609
45,25467
46,15542
47,2268
48,15271
49,6879
50,15711
51,12410
52,26505
53,7346
54,2880
55,10579
56,1401
57,10011
58,2532
59,12700
60,57551
61,29205
62,14160
63,22073
64,38176
65,26965
66,15254
67,9265
68,33844
69,13574
70,23582
71,20534
72,26015
73,28751
