barrisnum;Barris;Albània;Alemanya;Andorra;Àustria;Belarús;Bèlgica;"Bòsnia i 
Hercegovina";Bulgària;Croàcia;Dinamarca;Eslovàquia;Eslovènia;Espanya;Estònia;Finlàndia;França;Grècia;Hongria;Irlanda;Islàndia;Itàlia;Letònia;Liechtenstein;Lituània;Luxemburg;Macedònia;Malta;Moldàvia;Mònaco;Montenegro;Noruega;"Països 
Baixos";Polònia;Portugal;Regne Unit;Romania;Rússia;San Marino;Sèrbia;Suècia;Suïssa;Txèquia;Ucraïna;"Altres països o
territoris de la
resta d'Europa";;Algèria;Angola;Benín;Botswana;Burkina Faso;Burundi;Camerun;Cap Verd;Congo;"Costa 
d'Ivori";Djibouti;Egipte;Eritrea;Etiòpia;Gabon;Gàmbia;Ghana;Guinea;"Guinea - 
Bissau";"Guinea 
Equatorial";Kenya;Libèria;Líbia;Madagascar;Malawi;Mali;Marroc, el;Maurici;Mauritània;Moçambic;Namíbia;Níger;Nigèria;"República 
Centreafricana";"República 
Democràtica 
del Congo";Ruanda;"São Tomé
i Príncipe";Senegal;Seychelles;"Sierra
Leone";Somàlia;Sud-àfrica;Sudan, el;Swaziland;Tanzània;Togo;Tunísia;Txad;Uganda;Zàmbia;Zimbàbue;Canadà;"Estats 
Units, els";Mèxic;Antigua i Barbuda;Bahames, les;Barbados;Costa Rica;Cuba;Dominica;El Salvador;Grenada;Guatemala;Haití;Hondures;Jamaica;Nicaragua;Panamà;"República
Dominicana";"Saint Kitts
 i Nevis";"Trinidad
i Tobago";Argentina;Bolívia;Brasil;Colòmbia;Equador;Guyana;Paraguai;Perú;Surinam;Uruguai;Veneçuela;Xile;Afganistan;"Aràbia 
Saudí";Armènia;Azerbaidjan;Bahrain;Bangladesh;Cambodja;Corea;"Emirats Àrabs 
Units, els";Filipines;Geòrgia;Iemen, el;Índia;Indonèsia;Iran;Iraq, l';Israel;Japó;Jordània;Kazakhstan;Kirguizstan;Kuwait;Lao;Líban;Malàisia;Maldives;Mongòlia;Myanmar;Nepal;Oman;Pakistan;Qatar;Singapur;Síria;Sri Lanka;Tadjikistan;Tailàndia;"Territoris 
Palestins";Timor-Leste;Turkmenistan;Turquia;Uzbekistan;Vietnam;Xina;Xipre;Austràlia;"Nova
Zelanda";Illes Salomó;;Apàtrides;;;;;;;;;;;;;;;;;;;;
0;BARCELONA;0;0.400000006;0;0;0;0.100000001;0;0.100000001;0;0;0;0;81.90000153;0;0;0.899999976;0.100000001;0.100000001;0.100000001;0;1.899999976;0;0;0;0;0;0;0;0;0;0;0.200000003;0.200000003;0.300000012;0.5;0.400000006;0.400000006;0;0;0.100000001;0.100000001;0;0.300000012;0;;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000012;0;0;0;0;0;0.100000001;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300000012;0.300000012;0;0;0;0;0.100000001;0;0.100000001;0;0;0;0.600000024;0;0;0;0.300000012;0;0;0.400000006;0.5;0.400000006;0.600000024;0.5;0;0.200000003;0.5;0;0.100000001;0.5;0.200000003;0;0;0.100000001;0;0;0.300000012;0;0.100000001;0;0.600000024;0.200000003;0;0.400000006;0;0.100000001;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0;0.100000001;0;1.200000048;0;0;0;0;0;0;0;0;0;0.100000001;0;0;1.299999952;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;
1;1. el Raval;0;0.699999988;0;0.100000001;0;0.200000003;0;0.200000003;0;0.100000001;0;0;50.5;0;0.100000001;1.600000024;0.100000001;0.100000001;0.100000001;0;3.5;0;0;0.100000001;0;0;0;0;0;0;0.100000001;0.300000012;0.200000003;0.400000006;1.100000024;0.600000024;0.400000006;0;0.100000001;0.300000012;0.100000001;0;0.300000012;0;;0.400000006;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0.100000001;0;0.100000001;0;0;0;0;0;0;0;0;2.799999952;0;0;0;0;0;0.100000001;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0;0.100000001;0.400000006;0.400000006;0;0;0;0;0.100000001;0;0.100000001;0;0;0;0.300000012;0;0;0;0.400000006;0;0;0.600000024;0.600000024;0.5;0.699999988;0.5;0;0.200000003;0.300000012;0;0.100000001;0.400000006;0.400000006;0.100000001;0;0.100000001;0;0;6.099999905;0;0.100000001;0;8.5;0.200000003;0;2.099999905;0;0.100000001;0;0;0.100000001;0;0;0;0;0;0.100000001;0;0;0;0;0.300000012;0;9.5;0;0;0.300000012;0;0;0;0;0;0;0.100000001;0;0;0.699999988;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;
2;2. el Barri Gòtic;0.100000001;1.600000024;0;0.200000003;0.100000001;0.400000006;0;0.200000003;0;0.200000003;0;0;50.79999924;0;0.100000001;3.400000095;0.200000003;0.200000003;0.300000012;0;6.300000191;0;0;0.100000001;0;0;0;0;0;0;0;1;0.5;0.600000024;2.200000048;0.899999976;0.800000012;0;0.100000001;0.600000024;0.200000003;0.100000001;0.400000006;0;;0.300000012;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0;0.200000003;0;0;0;0;0;0;0;0;0;2.299999952;0;0.100000001;0;0;0;0.100000001;0;0;0;0;0.300000012;0;0;0;0.100000001;0;0;0;0;0.100000001;0;0;0;0;0.200000003;1.200000048;0.600000024;0;0;0;0.100000001;0.200000003;0;0.100000001;0;0;0;0.5;0;0;0.100000001;0.200000003;0;0;1.299999952;0.400000006;0.899999976;0.899999976;0.300000012;0;0.200000003;0.5;0;0.200000003;0.699999988;0.800000012;0;0;0.100000001;0;0;2.099999905;0;0.300000012;0;1.799999952;0.200000003;0;1.899999976;0;0.100000001;0;0.200000003;0.200000003;0;0.100000001;0;0;0;0.100000001;0;0;0;0;0.100000001;0;5.900000095;0;0;0.200000003;0;0;0;0;0;0;0.300000012;0;0.100000001;0.899999976;0;0.200000003;0;0;;0;;;;;;;;;;;;;;;;;;;;
3;3. la Barceloneta;0;1.299999952;0;0.200000003;0.100000001;0.200000003;0;0.5;0.100000001;0.200000003;0.100000001;0.100000001;64.59999847;0;0.100000001;2;0.200000003;0.200000003;0.200000003;0;6.800000191;0.100000001;0;0.200000003;0;0;0;0;0;0;0.100000001;0.699999988;0.600000024;0.800000012;1.399999976;0.600000024;0.699999988;0;0;0.5;0.100000001;0.200000003;0.699999988;0;;0.400000006;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.200000048;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0.100000001;0.600000024;0.5;0;0;0;0.100000001;0.300000012;0;0.100000001;0;0;0;0.200000003;0;0;0;0.100000001;0;0;1;0.400000006;1.100000024;0.899999976;0.400000006;0;0.200000003;0.400000006;0;0.300000012;0.899999976;0.400000006;0;0;0;0;0;0.100000001;0;0;0;0.100000001;0.100000001;0;0.5;0;0.100000001;0;0;0.100000001;0;0;0;0;0;0.100000001;0;0;0;0;0.100000001;0;2.799999952;0;0;0;0;0;0;0;0;0;0.400000006;0;0;0.300000012;0;0.200000003;0;0;;0;;;;;;;;;;;;;;;;;;;;
4;4. Sant Pere, Santa Caterina i la Ribera;0;1.600000024;0;0.200000003;0.100000001;0.400000006;0;0.200000003;0.100000001;0.200000003;0.100000001;0;58.29999924;0;0.200000003;3.200000048;0.300000012;0.200000003;0.400000006;0;6.699999809;0;0;0.100000001;0;0;0;0;0;0;0.100000001;0.899999976;0.400000006;0.600000024;2.400000095;0.699999988;0.800000012;0;0.100000001;0.5;0.200000003;0.100000001;0.300000012;0;;0.5;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0.100000001;0.100000001;0.100000001;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0.300000012;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0;0.300000012;1.299999952;0.699999988;0;0;0;0.100000001;0.100000001;0;0.100000001;0;0;0;0.200000003;0;0;0.100000001;0.600000024;0;0;1.100000024;0.400000006;0.800000012;0.899999976;0.400000006;0;0.200000003;0.5;0;0.200000003;0.699999988;0.600000024;0;0;0;0;0;0.200000003;0;0.200000003;0;1.200000048;0.200000003;0;0.5;0;0.100000001;0;0.100000001;0.300000012;0;0.100000001;0;0;0;0.100000001;0;0;0;0;0;0;1.700000048;0;0;0;0;0;0;0;0;0;0.300000012;0;0;1.5;0;0.100000001;0;0;;0;;;;;;;;;;;;;;;;;;;;
5;5. el Fort Pienc;0;0.600000024;0;0.100000001;0;0.100000001;0;0.200000003;0;0;0;0;77.5;0;0.100000001;1.799999952;0.100000001;0.100000001;0.100000001;0;3.200000048;0.100000001;0;0;0;0;0;0;0;0;0;0.300000012;0.200000003;0.300000012;0.600000024;0.400000006;0.400000006;0;0;0.100000001;0.100000001;0;0.300000012;0;;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.100000001;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300000012;0.400000006;0;0;0;0;0.200000003;0;0.100000001;0;0;0;0.300000012;0;0;0;0.200000003;0;0;0.600000024;0.400000006;0.600000024;0.600000024;0.400000006;0;0.100000001;0.5;0;0.100000001;0.699999988;0.300000012;0;0;0;0;0;0.100000001;0;0;0;0.200000003;0.200000003;0;0.200000003;0;0.100000001;0;0.100000001;0.100000001;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0.5;0;0;0;0;0;0;0;0;0;0.100000001;0;0;4.099999905;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;
6;6. la Sagrada Família;0;0.400000006;0;0.100000001;0;0.100000001;0;0.100000001;0;0.100000001;0;0;80;0;0;0.899999976;0.100000001;0.100000001;0.100000001;0;2.5;0;0;0;0;0;0;0;0;0;0;0.200000003;0.200000003;0.5;0.5;0.400000006;0.400000006;0;0;0.100000001;0.100000001;0;0.200000003;0;;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300000012;0.400000006;0;0;0;0.100000001;0.200000003;0;0.100000001;0;0.100000001;0;0.400000006;0;0.100000001;0.100000001;0.300000012;0;0;0.600000024;0.600000024;0.5;0.899999976;0.5;0;0.400000006;0.800000012;0;0.100000001;1;0.400000006;0;0;0.100000001;0;0;0.100000001;0;0.100000001;0;0.200000003;0.100000001;0;0.300000012;0;0;0;0;0.100000001;0;0;0;0;0;0.100000001;0;0;0;0;0.200000003;0;0.300000012;0;0;0;0;0;0;0;0;0;0.100000001;0;0;2.200000048;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;
7;7. la Dreta de l'Eixample;0;1;0;0.100000001;0;0.200000003;0;0.100000001;0;0.100000001;0;0;78.5;0;0;2.400000095;0.100000001;0.100000001;0.200000003;0;3.299999952;0;0;0;0;0;0;0;0;0;0.100000001;0.5;0.200000003;0.400000006;1;0.200000003;0.600000024;0;0;0.200000003;0.100000001;0;0.200000003;0;;0.100000001;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300000012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.100000001;0.899999976;0.600000024;0;0;0;0.100000001;0.100000001;0;0;0;0;0;0.200000003;0;0;0;0.100000001;0;0;0.5;0.300000012;0.600000024;0.699999988;0.200000003;0;0.200000003;0.400000006;0;0.100000001;0.600000024;0.300000012;0;0;0;0;0;0.100000001;0;0.100000001;0;0.200000003;0.100000001;0;0.200000003;0;0.100000001;0;0.100000001;0.200000003;0;0.100000001;0;0;0;0.100000001;0;0;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0.200000003;0;0;1.5;0;0.100000001;0;0;;0;;;;;;;;;;;;;;;;;;;;
8;8. l'Antiga Esquerra de l'Eixample;0;0.800000012;0;0.100000001;0.100000001;0.100000001;0;0.100000001;0;0.100000001;0;0;78.80000305;0;0;1.5;0.100000001;0.100000001;0.100000001;0;2.799999952;0;0;0;0;0;0;0;0;0;0.100000001;0.300000012;0.200000003;0.400000006;0.800000012;0.300000012;0.5;0;0;0.200000003;0.100000001;0;0.200000003;0;;0;0;0;0;0;0;0;0;0;0;0;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300000012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.100000001;0.600000024;0.600000024;0;0;0;0.100000001;0.200000003;0;0.100000001;0;0;0;0.300000012;0;0.100000001;0.100000001;0.100000001;0;0;0.600000024;0.400000006;0.800000012;0.899999976;0.300000012;0;0.200000003;0.600000024;0;0.100000001;0.899999976;0.400000006;0;0;0;0;0;0.100000001;0;0.100000001;0;0.699999988;0.100000001;0;0.200000003;0;0.100000001;0;0.100000001;0.200000003;0;0;0;0;0;0.100000001;0;0;0;0;0.100000001;0;0.300000012;0;0;0;0;0;0;0;0;0;0.200000003;0;0;1.600000024;0;0.100000001;0;0;;0;;;;;;;;;;;;;;;;;;;;
9;9. la Nova Esquerra de l'Eixample;0;0.400000006;0;0;0;0.100000001;0;0.100000001;0;0;0;0;81.80000305;0;0;0.899999976;0.100000001;0.100000001;0.100000001;0;2.299999952;0;0;0;0;0;0;0;0;0;0;0.200000003;0.200000003;0.400000006;0.400000006;0.400000006;0.400000006;0;0;0.100000001;0;0;0.200000003;0;;0.100000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.400000006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300000012;0.400000006;0;0;0;0.100000001;0.200000003;0;0.100000001;0;0;0;0.300000012;0;0;0.100000001;0.200000003;0;0;0.600000024;0.400000006;0.699999988;0.699999988;0.5;0;0.300000012;0.699999988;0;0.100000001;0.600000024;0.300000012;0;0;0.100000001;0;0;0.100000001;0;0.100000001;0;0.600000024;0.100000001;0;0.200000003;0;0.100000001;0;0;0.200000003;0;0;0;0;0;0;0;0;0;0;0;0;0.300000012;0;0;0.100000001;0;0;0;0;0;0;0.100000001;0;0;2.099999905;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;
